data,output,timestamp
"{""headers"": [""direction"", ""speed""], ""data"": [], ""metadata"": null}",,2025-03-03 18:21:13.077531
"{""headers"": [""direction"", ""speed""], ""data"": [], ""metadata"": null}",,2025-03-03 18:21:16.895249
